Parameter Index Variable,Asyn Interface,Access,drvInfo String,Record Names,Record Types,Description
*ADReadout*,,,,,,
ADMaxSizeX,asynInt32,R,MAX_SIZE_X,$(P)$(R)MaxSizeX_RBV,longin,MaxSizeX_RBV
ADMaxSizeY,asynInt32,R,MAX_SIZE_Y,$(P)$(R)MaxSizeY_RBV,longin,MaxSizeY_RBV
ADBinX,asynInt32,RW,BIN_X,"$(P)$(R)BinX,
$(P)$(R)BinX_RBV","longout,
longin",BinX
ADBinY,asynInt32,RW,BIN_Y,"$(P)$(R)BinY,
$(P)$(R)BinY_RBV","longout,
longin",BinY
ADMinY,asynInt32,RW,MIN_Y,"$(P)$(R)MinY,
$(P)$(R)MinY_RBV","longout,
longin",MinY
ADMinX,asynInt32,RW,MIN_X,"$(P)$(R)MinX,
$(P)$(R)MinX_RBV","longout,
longin",MinX
ADReverseX,asynInt32,RW,REVERSE_X,"$(P)$(R)ReverseX,
$(P)$(R)ReverseX_RBV","bo,
bi",ReverseX
ADReverseY,asynInt32,RW,REVERSE_Y,"$(P)$(R)ReverseY,
$(P)$(R)ReverseY_RBV","bo,
bi",ReverseY
ADSizeX,asynInt32,RW,SIZE_X,"$(P)$(R)SizeX,
$(P)$(R)SizeX_RBV","longout,
longin",SizeX
ADSizeY,asynInt32,RW,SIZE_Y,"$(P)$(R)SizeY,
$(P)$(R)SizeY_RBV","longout,
longin",SizeY
ADGain,asynFloat64,RW,GAIN,"$(P)$(R)Gain,
$(P)$(R)Gain_RBV","ao,
ai",Gain
*ADShutter*,,,,,,
ADShutterMode,asynInt32,RW,SHUTTER_MODE,"$(P)$(R)ShutterMode,
$(P)$(R)ShutterMode_RBV","mbbo,
mbbi",ShutterMode
ADShutterStatus,asynInt32,R,SHUTTER_STATUS,$(P)$(R)ShutterStatus_RBV,bi,ShutterStatus_RBV
ADShutterControl,asynInt32,RW,SHUTTER_CONTROL,"$(P)$(R)ShutterControl,
$(P)$(R)ShutterControl_RBV","bo,
bi",ShutterControl
ADShutterOpenDelay,asynFloat64,RW,SHUTTER_OPEN_DELAY,"$(P)$(R)ShutterOpenDelay,
$(P)$(R)ShutterOpenDelay_RBV","ao,
ai",ShutterOpenDelay
ADShutterCloseDelay,asynFloat64,RW,SHUTTER_CLOSE_DELAY,"$(P)$(R)ShutterCloseDelay,
$(P)$(R)ShutterCloseDelay_RBV","ao,
ai",ShutterCloseDelay
*ADCollect*,,,,,,
ADAcquireTime,asynFloat64,RW,ACQ_TIME,"$(P)$(R)AcquireTime,
$(P)$(R)AcquireTime_RBV","ao,
ai",AcquireTime
ADAcquirePeriod,asynFloat64,RW,ACQ_PERIOD,"$(P)$(R)AcquirePeriod,
$(P)$(R)AcquirePeriod_RBV","ao,
ai",AcquirePeriod
ADNumImagesCounter,asynInt32,R,NIMAGES_COUNTER,$(P)$(R)NumImagesCounter_RBV,longin,NumImagesCounter_RBV
ADNumImages,asynInt32,RW,NIMAGES,"$(P)$(R)NumImages,
$(P)$(R)NumImages_RBV","longout,
longin",NumImages
ADNumExposures,asynInt32,RW,NEXPOSURES,"$(P)$(R)NumExposures,
$(P)$(R)NumExposures_RBV","longout,
longin",NumExposures
ADImageMode,asynInt32,RW,IMAGE_MODE,"$(P)$(R)ImageMode,
$(P)$(R)ImageMode_RBV","mbbo,
mbbi",ImageMode
ADTriggerMode,asynInt32,RW,TRIGGER_MODE,"$(P)$(R)TriggerMode,
$(P)$(R)TriggerMode_RBV","mbbo,
mbbi",TriggerMode
ADStatus,asynInt32,R,STATUS,$(P)$(R)DetectorState_RBV,mbbi,DetectorState_RBV
ADStatusMessage,asynOctetRead,R,STATUS_MESSAGE,$(P)$(R)StatusMessage_RBV,waveform,StatusMessage_RBV
ADTimeRemaining,asynFloat64,R,TIME_REMAINING,$(P)$(R)TimeRemaining_RBV,ai,TimeRemaining_RBV
*ADBaseMisc*,,,,,,
ADReadStatus,asynInt32,W,READ_STATUS,$(P)$(R)ReadStatus,bo,ReadStatus
ADNumExposuresCounter,asynInt32,R,NEXPOSURES_COUNTER,$(P)$(R)NumExposuresCounter_RBV,longin,NumExposuresCounter_RBV
ADStringToServer,asynOctetRead,R,STRING_TO_SERVER,$(P)$(R)StringToServer_RBV,waveform,StringToServer_RBV
ADStringFromServer,asynOctetRead,R,STRING_FROM_SERVER,$(P)$(R)StringFromServer_RBV,waveform,StringFromServer_RBV
ADShutterControlEPICS,asynInt32,R,SHUTTER_CONTROL_EPICS,$(P)$(R)ShutterControlEPICS,bi,ShutterControlEPICS
ADTemperatureActual,asynFloat64,R,TEMPERATURE_ACTUAL,$(P)$(R)TemperatureActual,ai,TemperatureActual
ADFrameType,asynInt32,RW,FRAME_TYPE,"$(P)$(R)FrameType,
$(P)$(R)FrameType_RBV","mbbo,
mbbi",FrameType
ADTemperature,asynFloat64,RW,TEMPERATURE,"$(P)$(R)Temperature,
$(P)$(R)Temperature_RBV","ao,
ai",Temperature
